session_date,daily_pnl_usd,daily_trade_count,equity,peak_equity,drawdown_usd,drawdown_pct
2019-10-24,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-10-25,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-10-28,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-10-29,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-10-30,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-10-31,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-01,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-04,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-05,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-06,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-07,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-08,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-11,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-12,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-13,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-14,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-15,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-18,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-19,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-20,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-21,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-22,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-25,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-26,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-27,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-28,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-11-29,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-02,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-03,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-04,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-05,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-06,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-09,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-10,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-11,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-12,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-13,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-16,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-17,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-18,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-19,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-23,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-24,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-26,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-27,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-30,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2019-12-31,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-02,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-03,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-06,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-07,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-08,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-09,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-10,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-13,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-14,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-15,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-16,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-17,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-20,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-21,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-22,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-23,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-24,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-27,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-28,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-29,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-30,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-01-31,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-03,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-04,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-05,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-06,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-07,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-10,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-11,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-12,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-13,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-14,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-17,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-18,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-19,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-20,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-21,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-24,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-25,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-26,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-27,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-02-28,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-02,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-03,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-04,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-05,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-06,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-09,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-10,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-11,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-12,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-13,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-16,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-17,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-18,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-19,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-23,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-24,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-25,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-26,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-27,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-30,0.0,0.0,50070.02,50158.76,-88.74000000000524,-0.0017691824917522928
2020-03-31,-161.74,1.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-01,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-02,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-03,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-06,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-07,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-08,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-09,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-13,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-14,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-15,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-16,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-17,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-20,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-21,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-22,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-23,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-24,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-27,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-28,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-29,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-04-30,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-01,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-04,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-05,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-06,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-07,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-08,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-11,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-12,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-13,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-14,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-15,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-18,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-19,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-20,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-21,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-22,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-25,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-26,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-27,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-28,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-05-29,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-01,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-02,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-03,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-04,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-05,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-08,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-09,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-10,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-11,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-12,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-15,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-16,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-17,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-18,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-22,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-23,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-24,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-25,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-26,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-29,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-06-30,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-01,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-02,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-03,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-06,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-07,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-08,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-09,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-10,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-13,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-14,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-15,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-16,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-17,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-20,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-21,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-22,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-23,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-24,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-27,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-28,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-29,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-30,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-07-31,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-08-03,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
2020-08-04,0.0,0.0,49908.28,50158.76,-250.4800000000032,-0.004993743864481562
